Archivo,Parametro_Analizado,Ancho_Pulso,Tipo_Variable_X,Grupo,Valor_X,Valor_Y
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,80.0,1.7795
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,80.0,-0.3772500000000001
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,80.0,0.9135
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,88.0,1.7185
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,88.0,2.85725
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,88.0,2.13825
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,90.0,4.767250000000001
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,90.0,2.8045
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,90.0,2.77975
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,93.33333333333333,3.11325
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,93.33333333333333,4.83725
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,93.33333333333333,5.69075
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,94.0,8.56775
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,94.0,3.6455
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,94.0,7.59575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,96.0,6.269
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,96.0,8.222999999999999
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,96.0,2.82125
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,96.0,8.124
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,96.0,11.862
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,96.0,9.4865
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,98.0,13.0815
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,98.0,18.24025
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,98.0,16.872
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P30,98.66666666666667,16.653
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P50,98.66666666666667,20.30225
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Solap,P70,98.66666666666667,24.433
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.101859163578813,16.653
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.169765272631355,20.30225
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.237671381683897,24.433
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.101859163578813,8.124
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.169765272631355,11.862
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.237671381683897,9.4865
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.101859163578813,3.11325
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.169765272631355,4.83725
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.237671381683897,5.69075
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.1527887453682195,13.0815
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.2546479089470325,18.24025
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.3565070725258455,16.872
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.1527887453682195,8.56775
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.2546479089470325,3.6455
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.3565070725258455,7.59575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.1527887453682195,4.767250000000001
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.2546479089470325,2.8045
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.3565070725258455,2.77975
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P30,0.305577490736439,6.269
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P50,0.5092958178940651,8.222999999999999
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,100 ns,Dens,P70,0.713014145051691,2.82125
